JOBNUMBER,JOBDESCRIPTION,HEALTHWELFARE
130120,Glenville Naval Reserve Center - HVAC,49.28
130130,Glenville - Naval Reserve Center,4924.92
130130,NAVFAC 251 RUDYCHASE DR,55.5
130140,Glenville - Naval Reserve Center Grounds Mtc.,641.77
130150,NAVFAC 5803 E MOLLOY RD,37.95
130150,Syracuse - Naval Reserve Center,2836.35
130160,Syracuse - Naval Reserve Center Grounds Mtc.,915.86
130170,Albany Armory Reserve Center,527.42
131121,Federal Bldg (Alexander Pirnie) - Janitor,4066.76
131121,Federal Bldg - Janitor,9864.02
131129,Federal Building -  Activities,14.21
131141,Army Reserve - Elihu Root,1285.24
132111,EADS Janitor,5343.68
132116,EADS - S&W Labs Rate,142.56
132121,Rome Labs Janitor,45145.22
132126,Rome Labs S&W Labs Rate,1180.58
134111,Army Reserve Grounds Maintenance,109.98
231051,Armory Janitor,33.33
231061,NYS Armory FMS6,286.83
231111,DDSO Carpet Cleaning,3376.58
231121,CNY Bus  Of Oneida And Utica - Janitor,3183.36
231201,DOT Bridge Maint Janitor,1044.34
231221,DOT Engineering,403.42
231229,DOT Engineering - Activities,6
231231,DOT Tech Lab Janitor,0.72
231235,DOT Tech Lab S&W,0.24
231240,DOT Technical Services Lab,171.36
231271,Elizabeth Street Janitor,128.67
231275,Elizabeth Street  S&W,2.31
231521,Marcy Day Treatment Janitor,31.16
231525,Marcy Day Treatment S&W,4.53
231529,Marcy Day Treatment - Activities,4.73
231531,Marcy Day Treatment - Janitor,2332.71
231541,McPike Janitor,14663.48
231571,OC 911 - Janitor,2477.53
231581,OC Cornell - Janitor,3468.8
231591,OC DPW - Janitor,3425.75
231599,OC DPW - Activities,14.08
231621,OGS Marcy Janitor,41.95
231631,OC Courthouse,26079.72
231639,Oneida Co Courthouse - Activities,6.49
231641,OC Health Dept. 285 Genesee St.,21.96
231641,Oneida County Health Dept.,896.9
231651,OC Office Bldg. (Mosley) 800 Park Ave,56.12
231651,Oneida County Office Bldg. 800 Park Avenue,3659.95
231659,Oneida County Office Bldg. Activities,3.28
231671,OTB Herkimer (Mohwak Street),1559.87
231679,OTB Herkimer (Mohawk St.) Activities,9.54
231691,OC WIC,359.98
231699,OC WIC - ACTIVITIES,5.43
231701,Oneida County Sheriff's Office,60.73
231821,Utica Court Janitor,10143.14
231841,Union Station,1846.73
231851,Utica Armory,454.01
232032,Admin Bldg Janitor P/T,4.86
232035,Admin Bldg S&W,100.7
232041,Rome Administration Bldg.,3011
232072,Bridge Street Janitor P/T,2.06
232076,Bridge Street S&W Labs Rate,366.7
232081,Bridge Street Day Hab,1013
232120,Delta Acres,3353.33
232126,Delta Acres S&W Labs Rate,484.85
232140,Griffis International Airport,4884.24
232222,Gore Road Janitor,6.94
232226,Gore Road S&W Labs Rate,190.74
232231,Home Land Security,1786.87
232561,OC Office Building - Janitor,5000.03
232566,OC Office Bldg S&W Labs Rate,424.83
232571,OC Social Services Bldg. - Rome,49
232571,Oneida County Social Services Bldg. - Rome,1945.3
232611,OGS Mohawk Janitor,0.73
232616,OGS S&W Labs Rate,23.12
232671,O'Shea Janitor F/T,3225.76
232676,O'Shea S&W Labs Rate,534.65
232721,OC Court House Rome Janitor,0.1
232721,Rome Court House Janitor,7
232726,Rome Court House S&W Labs Rate,238.43
232871,Walsh Janitor F/T,9402.01
232872,Walsh Janitor P/T,42.05
232876,Walsh S&W Labs Rate,940.7
232932,Wilson Janitor P/T,9.8
232936,Wilson S&W Labs Rate,499.97
233130,CENTRO 200 CORTLAND AVE,129.87
233130,CNY Centro - Syracuse - Janitor,15715.42
233140,NYS Fair,35511.81
233144,NYS Fair - Supervisor,371.6
233160,Hillbrook Detention Center,2760.63
233170,SUNY Oswego,13310.05
233180,William T. Walsh Regional Transportation Ctr.,4010.4
233190,Onondaga County Justice Center,1312
234100,Armory Grounds,192.4
234110,CNY DDSO,6.11
234160,Oneida County Grounds 3 Sites,204.1
235100,Armory Snow Removal,54.84
331050,Fiserv,136.63
331060,Gilroy Kernan Gilroy,111.41
331069,Gilroy - Activities,4.76
331070,HCCC,750.37
331150,OTB Bleecker,11.52
331160,OTB Cleats,4.61
331170,OTB Jerzees,6.91
331180,M & T Bank,244.96
331190,Rescue Mission,57.02
331200,Slocum Dickson-Utica,237.65
331230,UCP Hatfield,291.53
331239,UCP Hatfield - Activities,5
331280,TECT Power,7.88
331310,Slocum Dickson-Ilion,38.68
331320,Army Reserve  Center (Elihu Root USARC),68.8
331340,Ommegang Janitor,125.63
331350,Our Savior Lutheran Church,18
331380,Mele & Co.,13.5
331500,HTC,45.07
331510,MHC Utica,52.5
331519,MHCU - Activities,11.54
332130,Rome Justice Building,46.26
334100,Commercial Grounds Maintenance,108.19
334120,DRV Grounds FG,20
335100,Maintenance Plus Commercial,64.36
335200,Maintenance Plus - HTC,63.44
335209,Maintenance Plus -HTC Activities,24.47
335400,State Site Construction Cleanup  - R. Alexander,677.25
335400,State Site Construction Site Cleanup,68.25
393501,Distribution Center (New),8.16
